"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1854,-0.25,-0.28,0.13,0.11,-0.43,-0.56,0.6,0.76,0.58,0.81,0.91,1.22
1855,0.14,-0.18,0.64,1.38,1.03,0.22,0.26,-0.15,0.56,0.83,0.81,0.24
1856,0.71,-0.1,-0.04,0.65,0.93,0.51,-1.02,-0.61,-0.49,-1.01,-1.69,-1.42
1857,-0.04,0.72,0.51,0.01,-0.42,-0.42,-0.48,-0.9,-0.37,0.01,-0.07,0.36
1858,0.58,0.11,0.32,-0.11,-0.67,-1.77,-1.43,-1.82,-2.07,-1.21,0.04,0.76
1859,0.92,1.24,0.54,-0.13,-0.28,0.09,-0.04,-0.61,-0.67,-0.42,-0.27,-0.29
1860,-0.07,0.03,-0.03,-0.13,-0.5,-1.41,-3.22,-3.06,-1.91,-0.6,0.18,0.23
1861,-0.73,-0.9,-0.98,-0.19,-0.78,-1.13,-0.48,-0.6,-0.29,-0.23,-0.13,0.01
1862,-0.62,-0.99,-1.21,-1.03,-0.83,-0.91,-0.57,-0.67,-0.38,-0.05,-0.25,0.22
1863,0.13,-0.05,-0.04,-0.23,-0.46,-0.79,-0.93,-0.4,-0.7,-0.5,-0.59,-0.36
1864,-0.31,-0.64,0.22,0.34,0.16,0,-0.15,-0.29,-0.65,-0.38,-0.02,0.06
1865,0.42,0.51,0.18,-0.18,-0.3,0.05,0.42,0.21,0.26,0.22,0.14,0.05
1866,0.88,0.82,0.93,0.38,-0.23,-0.23,-0.28,-0.21,-0.43,-0.49,-0.53,-0.29
1867,-0.3,-0.06,0.21,0.14,-0.14,-0.5,-0.55,-0.17,0.12,0.4,-0.35,-1.57
1868,-1.4,-0.58,-0.22,0.04,0.07,-0.31,-0.58,-0.59,-0.76,-0.18,0.44,0.67
1869,0.7,0.19,-0.04,-0.38,-0.62,-0.63,-0.84,-0.18,0.27,0.62,0.61,0.5
1870,0.86,0.7,0.27,-0.43,-0.7,-1.06,-0.56,-0.37,-0.02,0.27,0.28,0.3
1871,0.54,0.6,0.27,0.56,0.39,-0.27,-0.37,-0.28,-0.2,0.05,-0.25,-0.31
1872,0,0.14,-0.12,0.03,-0.59,-0.39,-0.39,-0.61,-0.76,-0.5,-0.47,-0.09
1873,0.36,0.08,-0.34,-0.18,-0.29,-0.5,0.46,0.37,0.07,0.05,-0.28,0.03
1874,0.16,0.07,-0.24,0.06,-0.32,-0.33,-0.16,-0.14,0.35,0.16,-0.05,-0.44
1875,0.21,0.24,0.47,0.29,-0.12,-0.44,0.04,-0.01,-0.53,-0.25,0.13,0.27
1876,0.31,-0.37,-0.02,0.11,-0.15,0.36,0.48,0.5,0.49,0.11,0.07,0.57
1877,0.57,0.5,0.6,1.14,1.32,0.69,0.74,0.46,0.33,0.73,0.83,0.59
1878,0.77,0.14,-0.33,-0.49,0.14,0.29,-0.28,-0.53,-0.7,-0.96,-0.65,-1.04
1879,-0.15,0.79,0.51,0.15,0.51,0.17,0.62,-0.4,-0.48,-0.3,0.23,-0.01
1880,-0.01,-0.33,0.06,0.45,0.52,-0.23,-0.95,-1.25,-0.66,-1.82,-1.44,-0.28
1881,-0.11,-0.31,-0.25,-0.86,-0.55,-0.57,0.76,0.08,0.07,-0.57,-0.33,0.26
1882,0.58,0.27,-0.24,-0.16,-0.07,-0.43,-0.92,0.13,0.08,-0.28,0.01,1.22
1883,0.24,-0.19,0.42,0.43,-0.39,0.07,0.89,1.11,0.42,1.13,0.71,1.37
1884,2.22,2.21,0.89,0.41,0.25,-0.71,-0.96,-0.45,0.12,-0.9,-0.34,-0.54
1885,-0.99,-0.05,-0.31,-0.84,-1.58,-1.67,-2.08,-1.76,-2.1,-1.89,-1.35,-0.55
1886,-0.55,-0.7,-0.96,-1.19,-1.03,-0.78,-1.75,-1.63,-1.23,-0.24,-0.26,-0.23
1887,-0.82,-0.28,0.31,0.32,-0.72,-0.08,-1.4,-1.64,-0.89,-1.69,-0.85,-0.5
1888,0.36,-0.3,-0.61,0.98,1.7,1.77,2.13,1.11,0.25,0.43,0.51,1.15
1889,1.17,1.07,0.67,0.05,-0.12,-0.06,-0.06,-0.08,-0.15,-0.11,-0.53,-1.02
1890,-0.95,-0.74,-0.04,-0.1,-0.4,0.11,-0.68,-0.77,-1.5,-0.67,-1.26,-0.02
1891,-0.1,-0.04,-0.09,0.06,0.29,0.32,0.3,0.65,0.67,-0.16,-0.91,-0.98
1892,-0.25,0.09,-0.37,0.57,1.3,0.52,-0.27,-0.6,-0.3,-1.72,-1.05,-1
1893,-0.92,-0.71,-0.73,0.11,-0.11,-0.39,-0.68,-1.39,-1.3,-1.45,-1.66,-1.3
1894,-0.96,-0.59,-0.08,-0.04,-0.53,-1.16,-0.3,0.39,0.58,-0.2,0.46,-0.11
1895,0.01,-0.32,-0.44,-0.41,-0.88,-1.13,-0.88,-0.51,-0.3,0.96,0.6,0.25
1896,-0.37,0.11,0.29,-0.19,-0.67,-0.48,-0.29,-0.53,-1.23,-0.06,-0.04,0.46
1897,-0.61,-0.93,-0.68,-0.17,-0.85,-1.22,-1.32,-1.05,-1.5,-1.54,-0.92,-0.11
1898,-0.16,-0.38,-0.73,-0.63,-0.35,0.52,0.22,-0.33,-0.27,-0.4,-0.43,-0.62
1899,0.19,-0.76,-0.55,-0.81,-0.67,-0.52,0.74,0.67,-0.59,-1.25,-0.96,-0.58
1900,-0.14,-0.02,-0.11,-0.75,-0.44,-0.63,-0.54,-0.38,0.63,0.76,-0.5,-0.5
1901,-0.09,-0.13,-0.17,-0.13,0.08,-0.06,-0.82,-0.7,-0.64,-0.28,-0.97,-0.82
1902,-1.05,-0.78,-0.56,-0.19,-0.55,-1.36,-0.45,-1.46,-1.4,-0.86,0.05,0.14
1903,-0.48,-1.34,-1.21,-1.14,-2,-1.8,-2.31,-2.07,-1.38,-1.31,-1.61,-0.99
1904,-1.24,-1.16,-1.58,-1.09,-1.37,-1.4,-2.44,-3.04,-1.93,-1.83,-2.22,-2.58
1905,-2.04,-0.97,-0.74,-1.69,-1.68,-1.28,-0.75,-0.77,-0.56,-0.86,0.01,-0.44
1906,-1.33,-0.72,-0.45,-0.04,-1.86,-1.62,-1.14,-0.45,-0.84,-1.34,-0.25,-0.2
1907,-0.35,-0.69,0.22,0.48,-0.85,-0.24,-0.94,-1.21,-2.16,-2.13,-1.85,-2.2
1908,-1.83,-1.3,-1.33,-1.58,-2.32,-2.53,-2.79,-2.76,-2.62,-2.71,-1.66,-1.28
1909,-1.49,-1.81,-2.16,-1.44,-0.98,-1.55,-1.51,-1.59,-1.78,-1.65,-1.93,-1.53
1910,-0.56,-1.42,-1.61,-1.22,-1.1,-1.9,-2.24,-1.87,-1.74,-1.72,-1.97,-1.88
1911,-1.37,-1.48,-1.15,-1.46,-2.5,-2.2,-2.8,-2.53,-1.54,-1.39,-1.14,-1.31
1912,-0.67,-0.23,-0.29,-0.42,-0.71,-0.84,-0.75,-1.55,-2.28,-1.69,-2.78,-1.8
1913,-1.11,-0.72,-0.87,-1.03,-1.28,-1.29,-1.84,-2.23,-2.19,-1.77,-1.82,-1.68
1914,-1.57,-1.23,-1.14,-1.22,-0.97,-1.32,-1.14,-1.01,-1.46,-0.69,-0.87,-0.48
1915,-0.32,-0.6,-0.57,-1.19,-1.66,-1.5,-0.96,-0.96,-0.85,-0.31,-0.33,-0.75
1916,-0.53,-0.27,-0.89,-1.56,-2.3,-2.2,-1.86,-1.39,-1.15,-1.05,-0.82,-0.64
1917,-0.64,-0.35,-0.69,-1.04,-1.01,-0.91,-0.82,-0.94,0.07,0.45,-0.03,-0.47
